Phoenicopterus ruber
Pelecanus erythrorhynchos
Gavia arctica
Pluvialis squatarola
Sula nebouxii
Sula leucogaster
Aythya valisineria
Spatula cyanoptera
Nannopterum auritum
Calidris canutus
Egretta rufescens
Aythya marila
Histrionicus histrionicus
Lophodytes cucullatus
Somateria spectabilis
Phalaropus tricolor
Egretta tricolor
Aix galericulata
Egretta caerulea
Anas acuta
Numenius americanus
Aythya collaris
Cygnus columbianus
Aechmophorus occidentalis
Eudocimus albus
Haematopus bachmani
Hydroprogne caspia
Thalasseus sandvicensis
Larus marinus
Cepphus grylle
Oceanites oceanicus
Calidris alba
Actitis macularius
Tringa ochropus
Fregata minor
Larus argentatus
Larus californicus
Dendrocygna bicolor
Megaceryle torquata
Limosa fedoa
Limosa limosa
Arenaria melanocephala
Alle alle
Calidris alpina
Mareca penelope
Calidris minuta
Puffinus puffinus
Morus bassanus
Cygnus olor
Grus grus
