Chordeiles gundlachii
Coccyzus erythropthalmus
Laterallus jamaicensis
Oceanodroma melania
Mimus caerulescens
Setopagis ridgwayi
Chaetura pelagica
Glaucidium brasilianum
Phalaenoptilus nuttallii
Micrathene whitneyi
Psiloscops flammeolus
Aegolius funereus
Coccyzus minor
Fulmarus glacialis
Surnia ulula
Glaucidium gnoma
Pycnonotus cafer
Pycnonotus jocosus
Rallus obsoletus
Asio flammeus
Strix occidentalis
Chaetura vauxi
Megascops trichopsis
Coccyzus americanus
Coturnicops noveboracensis
Cinclus mexicanus
Anthus rubescens
Mareca americana
Peucaea aestivalis
Riparia riparia
Picoides arcticus
Pica hudsonia
Spizella atrogularis
Quiscalus major
Buteo platypterus
Psilorhinus morio
Toxostoma rufum
Turdus rufopalliatus
Callipepla squamata
Icterus parisorum
Accipiter striatus
Tringa solitaria
Icterus pectoralis
Myiodynastes luteiventris
Catharus ustulatus
Melospiza georgiana
Vireo crassirostris
Catharus fuscescens
Auriparus flaviceps
Tyrannus verticalis
