Euodice cantans
Onychoprion aleuticus
Synthliboramphus antiquus
Coereba flaveola
Branta leucopsis
Archilochus alexandri
Bombycilla garrulus
Spermestes cucullata
Melozone crissalis
Perisoreus canadensis
Caracara cheriway
Toxostoma curvirostre
Trogon elegans
Centrocercus urophasianus
Strix nebulosa
Chlorodrepanis virens
Tetraogallus himalayensis
Fratercula corniculata
Larus glaucoides
Phoebastria immutabilis
Plectrophenax hyperboreus
Aphelocoma wollweberi
Psittacara mitratus
Aratinga nenday
Camptostoma imberbe
Lanius borealis
Gavia pacifica
Pinicola enucleator
Heliomaster constantii
Alca torda
Gallus gallus
Amazona autumnalis
Psittacara erythrogenys
Podiceps grisegena
Phalaropus lobatus
Phaethon rubricauda
Lagopus muta
Columbina talpacoti
Aimophila ruficeps
Sicalis flaveola
Artemisiospiza nevadensis
Lonchura punctulata
Synthliboramphus scrippsi
Calcarius pictus
Anser caerulescens
Charadrius nivosus
Stercorarius maccormicki
Lagopus leucura
Phaethon lepturus
Lagopus lagopus
