Empidonax alnorum
Magumma parva
Falco femoralis
Oceanodroma homochroa
Puffinus lherminieri
Tachycineta cyaneoviridis
Polioptila nigriceps
Thectocercus acuticaudatus
Vermivora cyanoptera
Ptychoramphus aleuticus
Pterocles exustus
Lonchura atricapilla
Setophaga pensylvanica
Corvus cryptoleucus
Buteogallus anthracinus
Buteo regalis
Callipepla gambelii
Francolinus pondicerianus
Buteo plagiatus
Porphyrio poliocephalus
Perdix perdix
Ardenna gravis
Anthracothorax prevostii
Falco rusticolus
Parabuteo unicinctus
Zonotrichia querula
Loxops coccineus coccineus
Anas wyvilliana
Buteo solitarius
Chasiempis sclateri
Ixobrychus exilis
Calidris minutilla
Calothorax lucifer
Falco columbarius
Accipiter gentilis
Aegolius acadicus
Stercorarius pomarinus
Falco mexicanus
Buteo lagopus
Buteo brachyurus
Rostrhamus sociabilis
Haliaeetus pelagicus
Asio stygius
Amazilia violiceps
Tringa incana
Zosterops japonicus
Haliaeetus albicilla
Buteo albicaudatus
Elanus leucurus
Buteo albonotatus
