Himatione sanguinea
Baeolophus atricristatus
Rynchops niger
Calocitta colliei
Icterus bullockii
Poecile rufescens
Aechmophorus clarkii
Nymphicus hollandicus
Carpodacus erythrinus
Toxostoma crissale
Dendragapus obscurus
Anser canagicus
Passer montanus
Coccothraustes vespertinus
Piranga bidentata
Setophaga chrysoparia
Melanerpes aurifrons
Anser anser
Pitangus sulphuratus
Centrocercus minimus
Corvus hawaiiensis
Branta sandvicensis
Estrilda caerulescens
Amazona finschi
Oenanthe oenanthe
Anser brachyrhynchus
Ardenna creatopus
Cardinalis sinuatus
Leuconotopicus borealis
Paroaria coronata
Cardellina rubrifrons
Phalaropus fulicarius
Phasianus colchicus
Sterna dougallii
Psittacula krameri
Pachyramphus aglaiae
Anser rossii
Agapornis roseicollis
Calidris pugnax
Dendragapus fuliginosus
Calamospiza melanocorys
Elanoides forficatus
Rhynchopsitta pachyrhyncha
Fratercula cirrhata
Zenaida asiatica
Cygnus cygnus
Icteria virens
Brotogeris chiriri
Agapornis personatus
Thalassarche chlororhynchos
