Melozone aberti
Sterna paradisaea
Vireo atricapilla
Polioptila caerulea
Estrilda troglodytes
Urile penicillatus
Euphagus cyanocephalus
Numenius tahitiensis
Branta hutchinsii
Callipepla californica
Cardellina canadensis
Setophaga tigrina
Columbina passerina
Uria aalge
Charadrius hiaticula
Tyrannus couchii
Rhodothraupis celaeno
Empidonax oberholseri
Motacilla tschutschensis
Thalasseus elegans
Alauda arvensis
Zonotrichia atricapilla
Contopus pertinax
Tringa melanoleuca
Psittacara holochlorus
Crotophaga sulcirostris
Fulica alai
Centronyx henslowii
Podiceps auritus
Aphelocoma insularis
Pagophila eburnea
Setophaga kirtlandii
Calcarius lapponicus
Spinus psaltria
Hydrocoloeus minutus
Brachyramphus marmoratus
Sula dactylatra
Anas diazi
Myiopsitta monachus
Oreortyx pictus
Vanellus vanellus
Stelgidopteryx serripennis
Arremonops rufivirgatus
Cepphus columba
Setophaga pinus
Calidris ptilocnemis
Cistothorus stellaris
Charadrius semipalmatus
Agelaius tricolor
Ixoreus naevius
