Oreomystis bairdi
Scolopax minor
Picoides arizonae
Centronyx bairdii
Limosa lapponica
Pterodroma hasitata
Calidris subruficollis
Toxostoma redivivum
Melozone fusca
Chordeiles minor
Oporornis agilis
Calonectris diomedea
Calidris ferruginea
Phylloscopus fuscatus
Spinus spinus
Turdus obscurus
Oceanodroma furcata
Melanerpes uropygialis
Catharus minimus
Stercorarius skua
Synthliboramphus hypoleucus
Pterodroma sandwichensis
Horornis diphone
Chlorodrepanis stejnegeri
Brachyramphus brevirostris
Oceanodroma leucorhoa
Ammospiza leconteii
Tympanuchus pallidicinctus
Asio otus
Cistothorus palustris
Antrostomus arizonae
Acrocephalus familiaris
Anas fulvigula
Parkesia noveboracensis
Anthus hodgsoni
Myadestes obscurus
Troglodytes pacificus
Loxioides bailleui
Calidris melanotos
Charadrius melodus
Melamprosops phaeosoma
Calidris maritima
Sphyrapicus nuchalis
Gavia stellata
Tympanuchus phasianellus
Spilopelia chinensis
Falcipennis canadensis
Leiothlypis peregrina
Calidris temminckii
Tringa glareola
