address,name,basename
0x4d389ddfa4984735b6988b2d853522925ee8ec6b,jbpunke,jpunke.base.eth
0x79e47f12fe6382cfb29e8e7dc05c57b5c04cc814,paesan5,paesan.base.eth
0x3434650a49De4155056975dc8d5a6E4692ec26d6,thedefifox,thedefifox.base.eth
0xdf53adbc2fea827c3ea675d3122bec89ccbc1af4,arcturus,arcturus.base.eth
0xe239ed8B146C6629Df4B1FBFc6612105e3Ff2977,toastonbase,zksnarky.base.eth
0x8ba0d7704df6a610f4ce9937d31e0bbc19717311,asendic,asendic.base.eth
0xa3be825bb9cd4dbdab4a7f599f9294bafbd58174,syren,syren.base.eth
0xd08abf06c1d7931e7c9732691a40b8d7f5b1a135,,
0xd14d1Ff519e11A26D577d48C7662171e547E5e5B,poolguy,poolguy.base.eth
0x0Bf4732edfD4B2850427941e0C34E2309CC6dEc6,realmasteryoda,realmasteryoda.base.eth
